n,0,1,2,3
40,0.9999981444780804,0.9650326250627405,0.704157941968292,0.9383154795146469
242,0.9999967102492904,0.9385458092593982,0.7779751332149201,0.9203058304798537
256,0.9999970037504599,0.9376112606085697,0.8531029065200314,0.905655134083646
421,0.9999983107933168,0.8251881945274226,0.7509191176470589,0.8672063005906804
423,0.9999976521858633,0.8230571612074502,0.631496062992126,0.737701095826533
