,40,50,60,70,80,90,100,110,120
0,49,47,45,46,43,641,1259,1305,1305
1,75,69,68,68,68,70,77,77,1199
2,76,76,76,75,80,79,723,1393,1407
3,58,49,49,52,50,51,55,1482,1482
4,50,50,50,42,42,42,749,1485,1543
5,35,47,48,48,48,742,1450,1486,1486
6,115,115,116,1273,1312,1312,1312,1312,1312
7,862,801,261,1255,1274,1274,1274,1274,1274
8,48,52,50,49,48,46,45,43,684
9,42,37,31,30,34,38,41,739,1351
10,58,58,61,63,60,59,64,57,51
11,55,54,55,54,54,53,51,50,1398
12,84,84,80,79,77,75,76,1117,1117
13,66,62,52,51,647,1289,1289,1289,1289
14,64,53,55,49,41,37,37,51,730
15,31,33,33,31,32,31,43,1475,1476
16,61,57,55,50,50,51,55,1659,1659
17,133,63,57,56,45,44,73,137,1334
18,54,53,53,54,53,53,53,658,1266
19,30,28,29,29,30,29,622,1250,1250
20,40,39,39,39,39,39,41,750,1494
21,540,378,266,1261,1273,1273,1273,1273,1273
22,85,85,86,85,85,86,86,1437,1437
23,80,83,84,84,80,81,1382,1427,1427
24,129,129,139,241,767,1371,1371,1371,1371
25,115,117,115,116,115,111,108,107,1184
26,54,54,55,56,56,56,53,59,1301
