n,Dataset,old_n,age,age(old),genotype,strain,name,shape,size,VoxelSizeX,VoxelSizeY,VoxelSizeZ,re-uCT scan,Comments,Phantom,Scaling Value,Arb Value,angle,center
34,EK,73,12,1 year,wt,wt,wt,"(1999, 590, 590)",695851900,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,351,
35,EK,74,12,1 year,wt,wt,wt,"(1999, 590, 590)",695851900,0.02061989535007,0.02061989535007,0.02061989535007,,,LONDON AB,LONDON AB,LONDON AB,214,
36,EK,75,7,7 months,wt,wt,col2:mcherry,"(2000, 644, 644)",829472000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,163,
37,EK,76,7,7 months,wt,wt,col2:mcherry,"(2000, 634, 634)",803912000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,224,
38,EK,77,7,7 months,wt,wt,col2:mcherry,"(2000, 624, 624)",778752000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,128,
39,EK,78,7,7 months,wt,wt,col2:mcherry,"(2000, 634, 634)",803912000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,347,
40,EK,79,7,7 months,wt,wt,col2:mcherry,"(2000, 584, 584)",682112000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,175,
41,EK,80,7,7 months,wt,wt,col2:mcherry,"(2000, 600, 600)",720000000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,206,
42,EK,81,7,7 months,wt,wt,col2:mcherry,"(2000, 634, 634)",803912000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,68,
43,EK,82,30,2.5 year,wt,wt,fli:gfp,"(2000, 600, 600)",720000000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,321,
44,EK,83,30,2.5 year,wt,wt,fli:gfp,"(2000, 604, 604)",729632000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,225,
45,EK,84,30,2.5 year,wt,wt,COL10 BAC:YFP,"(2000, 610, 610)",744200000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,202,
46,EK,85,30,2.5 year,wt,wt,COL10 BAC:YFP,"(2000, 620, 620)",768800000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,130,
47,EK,86,30,2.5 year,wt,wt,COL10 BAC:YFP,"(2000, 614, 614)",753992000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,191,
48,EK,87,24,2 year,wt,wt,LONDON AB,"(2000, 630, 630)",793800000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,98,
49,EK,88,24,2 year,wt,wt,LONDON AB,"(2000, 604, 604)",729632000,0.020098081852814,0.020098081852814,0.020098081852814,,,LONDON AB,LONDON AB,LONDON AB,84,
50,EK,89,4,4 Months,wt,wt,col2:mcherry,"(2000, 610, 610)",744200000,0.020098080885295,0.020098080885295,0.020098080885295,,,LONDON AB,LONDON AB,LONDON AB,36,
51,EK,90,4,4 Months,wt,wt,col2:mcherry,"(2000, 664, 664)",881792000,0.020098080885295,0.020098080885295,0.020098080885295,,,LONDON AB,LONDON AB,LONDON AB,59,
52,EK,91,4,4 Months,wt,wt,col2:mcherry,"(2000, 554, 554)",613832000,0.020098080885295,0.020098080885295,0.020098080885295,,,LONDON AB,LONDON AB,LONDON AB,12,
53,EK,92,4,4 Months,wt,wt,col2:mcherry,"(2000, 520, 520)",540800000,0.020098080885295,0.020098080885295,0.020098080885295,,,LONDON AB,LONDON AB,LONDON AB,33,
54,EK,93,4,4 Months,wt,wt,col2:mcherry,"(2000, 624, 624)",778752000,0.020098080885295,0.020098080885295,0.020098080885295,,,LONDON AB,LONDON AB,LONDON AB,171,
55,EK,94,4,4 Months,wt,wt,col2:mcherry,"(2000, 594, 594)",705672000,0.020098080885295,0.020098080885295,0.020098080885295,,,LONDON AB,LONDON AB,LONDON AB,72,
56,EK,95,4,4 Months,wt,wt,col2:mcherry,"(2000, 600, 600)",720000000,0.020098080885295,0.020098080885295,0.020098080885295,,,LONDON AB,LONDON AB,LONDON AB,171,
57,EK,96,30,2.5 year,wt,wt,LONDON AB,"(2000, 604, 604)",729632000,0.020452327953704,0.020452327953704,0.020452327953704,,,LONDON AB,LONDON AB,LONDON AB,174,
58,EK,97,30,2.5 year,wt,wt,LONDON AB,"(2000, 580, 580)",672800000,0.020452327953704,0.020452327953704,0.020452327953704,,,LONDON AB,LONDON AB,LONDON AB,134,
59,EK,98,30,2.5 year,wt,wt,LONDON AB,"(2000, 604, 604)",729632000,0.020452327953704,0.020452327953704,0.020452327953704,,,LONDON AB,LONDON AB,LONDON AB,62,
60,EK,99,30,2.5 year,wt,wt,LONDON AB,"(2000, 584, 584)",682112000,0.020452327953704,0.020452327953704,0.020452327953704,,,LONDON AB,LONDON AB,LONDON AB,326,
61,EK,100,30,2.5 year,wt,wt,LONDON AB,"(2000, 590, 590)",696200000,0.020452327953704,0.020452327953704,0.020452327953704,,,LONDON AB,LONDON AB,LONDON AB,127,
62,EK,101,30,2.5 year,wt,wt,LONDON AB,"(2000, 580, 580)",672800000,0.020452327953704,0.020452327953704,0.020452327953704,,,LONDON AB,LONDON AB,LONDON AB,189,
63,EK,102,12,1 year,wt,wt,ENTPD5:KAEDA,"(2000, 580, 580)",672800000,0.020452327953704,0.020452327953704,0.020452327953704,,,LONDON AB,LONDON AB,LONDON AB,132,
64,EK,103,18,1.5year,het,runx2,RUNX2 +/-,,,,,,,Where is 100-200?,,,,,
